,,,,,,,,,,,,,,,
,"TAPON GALVANIZADO: 1/2 - 3/4 - 1""",,,,,,,Listo,,,,,,,
,"BUSHING GALVANIZAD: 1/2X3/4 - 1/2X1"" - 3/4X1""",,,,,,,Listo,,,,,,,
,ANILLO REDUCIDO GALVANIZADO: 1X1/2 - 1X3/4 - 3/4X1/2,,,,,,,Listo,,,,,,,
,"JUNTA DRESSER GALVANIZADA: 1/2 - 3/4 - 1""",,,,,,,Listo,,,,,,,
,"UNION UNIVERSAL GALVANIZADA: 1/2 - 3/4 - 1"" - 1 1/2 - 2""",,,,,,,Listo,,,,,,,
,,,,,,,,,,,,,,,
,"UNION UNIVERSAL PVC SOLDAR: 1/2 - 3/4 - 1"" - 1 1/2 - 2"" - 4""",,,,,,,Listo,,,,,,,
,"UNION UNIVERSAL PVC ROSCA: 1/2 - 3/4 - 1"" - 1 1/2 - 2"" - 4""",,,,,,,Listo,,,,,,,
,,,,,,,,,,,,,,,
,"NIPLE GALVANIZADO: 1/2 - 3/4 - 1"" - 1 1/2 - 2""",,,,,,,Listo,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,52 productos hasta el momento,,,,,,,
,,,,,,,,,,,,,,,
,PPR ,,,,,,,,,,,,,,
,"PPR TUBOS 3M LONGITUD PN12,5/S4",,,,FRIA ,,,Listo,,,,,,,
,"PPR TUBOS 3M LONGITUD PN16/S3,2",,,,FRIA / CALINTE,,,Listo,,,,,,,
,"PPR TUBOS 4M LONGITUD PN12,5/S4",,,,FRIA ,,,Listo,,,,,,,
,"PPR TUBOS 4M LONGITUD PN20/S2,5",,,,FRIA / CALIENTE ,,,Listo,,,,,,,
,ADAPTADOR ROSCA MACHO ,,,,,,,Listo,,,,,,,
,ADAPTADOR ROSCA HEMBRA ,,,,,,,Listo,,,,,,,
,CODO 90° CON ROSCA HEMBRA ,,,,,,,Listo,,,,,,,
,CODO 90° CON ROSCA MACHO ,,,,,,,Listo,,,,,,,
,CODO 90° LISO ,,,,,,,Listo,,,,,,,
,CODO 45° LISO ,,,,,,,Listo,,,,,,,
,TEE LISA ,,,,,,,Listo,,,,,,,
,TEE REDUCIDA LISA ,,,,,,,Listo,,,,,,,
,TEE CON ROSCA MACHO ,,,,,,,Listo,,,,,,,
,TEE CON ROSCA HEMBRA ,,,,,,,Listo,,,,,,,
,UNIÓN ROSCA MACHO ,,,,,,,Listo,,,,,,,
,UNIÓN METLICA ,,,,,,,Listo,,,,,,,
,UNIÓN PLASTICA ,,,,,,,Listo,,,,,,,
,UNIÓN ROSCA HEMBRA ,,,,,,,Listo,,,,,,,
,ANILLO LISO ,,,,,,,Listo,,,,,,,
,ANILLO REDUCTOR LISO ,,,,,,,Listo,,,,,,,
,TAPÓN PARA PRUEBAS ,,,,,,,Listo,,,,,,,
,TAPÓN LISO ,,,,,,,Listo,,,,,,,
,CRUZ ,,,,,,,Listo,,,,,,,
,BRIDA ,,,,,,,Listo,,,,,,,
,VÁLVULA BOLA DOBLE UNIÓN ,,,,,,,Listo,,,,,,,
,VÁVULA PPR ,,,,,,,Listo,,,,,,,
,VÁLVULA BOLA ROSCA MACHO ,,,,,,,Listo,,,,,,,
,VÁLVULA BOLA ROSCA HEMBRA  ,,,,,,,Listo,,,,,,,
,VÁVULA CHECK ,,,,,,,Listo,,,,,,,
,SOBRE PASO LARGO ,,,,,,,Listo,,,,,,,
,SOBRE PASO CORTO ,,,,,,,Listo,,,,,,,
,SOPORTE LARGO ,,,,,,,Listo,,,,,,,
,SOPORTE TUBERÍA ,,,,,,,Listo,,,,,,,
,TIJERAS ,,,,,,,Listo,,,,,,,
,TERMOFUSORA ,,,,,,,Listo,,,,,,,
,DADOS ,,,,,,,36 productos ,,,,,,,
,,,,,,,,,88 productos hasta el momento,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Línea 1: Grifería para Lavamanos (Baño),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Monomandos Altos:,,,,,,,,,,,,,,
,"Monomando Lavamanos Piazza (Pico Alto): (Versiones en Cromo, Black, Brushed, Rose Gold y Golden Brush).",,,,,,,,,,,,,,
,"Monomando Lavamanos Prestige (Pico Alto): (Cromo, Black, Brushed, Golden Brush, Rose Gold).",,,,,,,,,,,,,,
,Monomando Lavamanos Joy (Pico Alto): (Versión Metal y versiones económicas ABS Blanco/Negro).,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Monomandos Estándar,,,,,,,,,,,,,,
,"Monomando Lavamanos Modelo Piazza: (Versiones en Cromo, Black, Brushed, Rose Gold y Golden Brush).",,,,,,,,,,,,,,
,"Monomando Lavamanos Modelo Square: (Cromo, Black, Brushed).",,,,,,,,,,,,,,
,Monomando Lavamanos Modelo Zoe 360.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Grifos Individuales:,,,,,,,,,,,,,,
,Grifería Individual (1 solo pomo): Modelo Spike,,,,,,,,,,,,,,
,Grifería Individual (1 solo pomo): Modelo Chopp.,,,,,,,,,,,,,,
,Grifería Individual Modelo Square (ABS Plus): (Blanco y Negro).,,,,,,,,,,,,,,
